day fraction	C
38036.82204	3.01936E-06
38036.82205	3.0133E-06
38036.82206	2.75672E-06
38036.82207	3.15364E-06
38036.82208	3.0059E-06
38036.82209	2.86203E-06
38036.82211	2.95754E-06
38036.82212	3.11004E-06
38036.82213	3.03072E-06
38036.82214	2.82356E-06
38036.82215	2.90694E-06
38036.82216	3.09768E-06
38036.82218	2.93998E-06
38036.82219	2.81863E-06
38036.8222	3.04774E-06
38036.82221	3.13897E-06
38036.82222	3.41331E-06
38036.82223	3.52127E-06
38036.82225	3.30296E-06
38036.82226	3.50603E-06
38036.82227	3.64893E-06
38036.82228	3.49504E-06
38036.82229	3.99555E-06
38036.8223	4.44662E-06
38036.82231	4.67121E-06
38036.82233	5.70752E-06
38036.82234	6.76536E-06
38036.82235	7.70552E-06
38036.82236	9.56659E-06
38036.82237	1.15282E-05
38036.82238	1.31254E-05
38036.8224	1.65409E-05
38036.82241	1.9411E-05
38036.82242	2.24441E-05
38036.82243	2.3885E-05
38036.82244	2.61271E-05
38036.82245	3.09891E-05
38036.82247	3.30373E-05
38036.82248	3.60132E-05
38036.82249	4.26894E-05
38036.8225	4.67315E-05
38036.82251	4.79326E-05
38036.82252	4.94783E-05
38036.82253	5.35546E-05
38036.82255	5.93733E-05
38036.82256	6.20531E-05
38036.82257	6.87089E-05
38036.82258	6.84497E-05
38036.82259	7.35956E-05
38036.8226	7.85643E-05
38036.82262	8.09498E-05
38036.82263	8.51102E-05
38036.82264	9.33547E-05
38036.82265	9.41196E-05
38036.82266	9.95735E-05
38036.82267	0.000102614
38036.82269	0.000110093
38036.8227	0.000118404
38036.82271	0.000121703
38036.82272	0.000132237
38036.82273	0.000137367
38036.82274	0.000144101
38036.82275	0.000146712
38036.82277	0.000155498
38036.82278	0.000163471
38036.82279	0.000167627
38036.8228	0.000171277
38036.82281	0.000180391
38036.82282	0.000186375
38036.82284	0.000189613
38036.82285	0.000192221
38036.82286	0.000200776
38036.82287	0.000207764
38036.82288	0.000210391
38036.82289	0.000212555
38036.82291	0.000219519
38036.82292	0.00022378
38036.82293	0.000224073
38036.82294	0.000228682
38036.82295	0.000236575
38036.82296	0.000239937
38036.82297	0.000244914
38036.82299	0.000248717
38036.823	0.000255988
38036.82301	0.000263556
38036.82302	0.000268343
38036.82303	0.000274228
38036.82304	0.000280023
38036.82306	0.000286933
38036.82307	0.000284309
38036.82308	0.000288713
38036.82309	0.000301078
38036.8231	0.000305809
38036.82311	0.000305968
38036.82313	0.000310088
38036.82314	0.000319715
38036.82315	0.000320996
38036.82316	0.000321889
38036.82317	0.000323552
38036.82318	0.000333757
38036.82319	0.000334447
38036.82321	0.000335596
38036.82322	0.000342756
38036.82323	0.000352273
38036.82324	0.000347054
38036.82325	0.000349264
38036.82326	0.000360779
38036.82328	0.000363746
38036.82329	0.000370953
38036.8233	0.000369862
38036.82331	0.000376153
38036.82332	0.000386398
38036.82333	0.000384675
38036.82334	0.000384389
38036.82336	0.000389059
38036.82337	0.000395933
38036.82338	0.000398376
38036.82339	0.000400186
38036.8234	0.000405155
38036.82341	0.000409003
38036.82343	0.00041413
38036.82344	0.000411924
38036.82345	0.000416308
38036.82346	0.000422172
38036.82347	0.000426471
38036.82348	0.000422377
38036.8235	0.000427232
38036.82351	0.000432522
38036.82352	0.000431135
38036.82353	0.000431692
38036.82354	0.000437682
38036.82355	0.00044362
38036.82356	0.000441489
38036.82358	0.000442059
38036.82359	0.00045214
38036.8236	0.000453498
38036.82361	0.000451492
38036.82362	0.000452237
38036.82363	0.000460451
38036.82365	0.000462573
38036.82366	0.000463878
38036.82367	0.000463668
38036.82368	0.000470822
38036.82369	0.000474587
38036.8237	0.000473835
38036.82372	0.000475633
38036.82373	0.000484978
38036.82374	0.000482051
38036.82375	0.000481007
38036.82376	0.000482551
38036.82377	0.000487087
38036.82378	0.000490648
38036.8238	0.000487261
38036.82381	0.000484523
38036.82382	0.000496159
38036.82383	0.00049809
38036.82384	0.000495372
38036.82385	0.00049759
38036.82387	0.000506153
38036.82388	0.000507416
38036.82389	0.0005037
38036.8239	0.000504892
38036.82391	0.000513963
38036.82392	0.000512501
38036.82394	0.000515596
38036.82395	0.000512899
38036.82396	0.000519735
38036.82397	0.000520594
38036.82398	0.000519551
38036.82399	0.00051695
38036.824	0.00052491
38036.82402	0.000519716
38036.82403	0.000522299
38036.82404	0.000519803
38036.82405	0.000524825
38036.82406	0.000536524
38036.82407	0.000542129
38036.82409	0.000539555
38036.8241	0.000534998
38036.82411	0.000541445
38036.82412	0.000541217
38036.82413	0.000540937
38036.82414	0.00054313
38036.82416	0.000547314
38036.82417	0.000550637
38036.82418	0.000550708
38036.82419	0.00054884
38036.8242	0.000552494
38036.82421	0.000559242
38036.82422	0.000556948
38036.82424	0.000557363
38036.82425	0.000554969
38036.82426	0.000561383
38036.82427	0.000558827
38036.82428	0.000559768
38036.82429	0.000560711
38036.82431	0.000563404
38036.82432	0.000563404
38036.82433	0.000562093
38036.82434	0.000562748
38036.82435	0.000568571
38036.82436	0.000566624
38036.82438	0.000562675
38036.82439	0.000567909
38036.8244	0.000571339
38036.82441	0.000568571
38036.82442	0.000566661
38036.82443	0.000568848
38036.82444	0.00057145
38036.82446	0.000573341
38036.82447	0.000565689
38036.82448	0.000568553
38036.82449	0.000572821
38036.8245	0.000567799
38036.82451	0.000566551
38036.82453	0.000570933
38036.82454	0.000572246
38036.82455	0.000572784
38036.82456	0.000570637
38036.82457	0.000568167
38036.82458	0.000572543
38036.82459	0.000576337
38036.82461	0.000567817
38036.82462	0.000568829
38036.82463	0.000576169
38036.82464	0.000581755
38036.82465	0.000584643
38036.82466	0.000582263
38036.82468	0.000583886
38036.82469	0.000584587
38036.8247	0.000579236
38036.82471	0.000577514
38036.82472	0.000578019
38036.82473	0.000576504
38036.82475	0.000570711
38036.82476	0.000571432
38036.82477	0.000570674
38036.82478	0.000572432
38036.82479	0.000568038
38036.8248	0.000567119
38036.82481	0.000571099
38036.82483	0.000566441
38036.82484	0.00056701
38036.82485	0.000566
38036.82486	0.000571747
38036.82487	0.000568664
38036.82488	0.000563332
38036.8249	0.000567505
38036.82491	0.000570729
38036.82492	0.0005687
38036.82493	0.00056304
38036.82494	0.000565433
38036.82495	0.000578468
38036.82497	0.000569235
38036.82498	0.00056905
38036.82499	0.00056033
38036.825	0.000571728
38036.82501	0.000573118
38036.82502	0.000566679
38036.82503	0.000564463
38036.82505	0.000568001
38036.82506	0.000563569
38036.82507	0.000562639
38036.82508	0.000561202
38036.82509	0.000563696
38036.8251	0.000568903
38036.82512	0.000560984
38036.82513	0.000558013
38036.82514	0.000566587
38036.82515	0.000563934
38036.82516	0.000559569
38036.82517	0.000557435
38036.82519	0.000559605
38036.8252	0.000558953
38036.82521	0.000556011
38036.82522	0.000549924
38036.82523	0.000554753
38036.82524	0.000555112
38036.82525	0.000550156
38036.82527	0.000546588
38036.82528	0.000549124
38036.82529	0.000548058
38036.8253	0.000543993
38036.82531	0.000539066
38036.82532	0.000542726
38036.82534	0.000542937
38036.82535	0.00053891
38036.82536	0.000543148
38036.82537	0.00054292
38036.82538	0.000546924
38036.82539	0.000545545
38036.82541	0.000540184
38036.82542	0.000536767
38036.82543	0.000537794
38036.82544	0.00053795
38036.82545	0.000533856
38036.82546	0.000527346
38036.82547	0.000534115
38036.82549	0.000531786
38036.8255	0.000529244
38036.82551	0.000526237
38036.82552	0.000522063
38036.82553	0.000518022
38036.82554	0.000519921
38036.82556	0.000515429
38036.82557	0.000516967
38036.82558	0.00052046
38036.82559	0.000520527
38036.8256	0.000513215
38036.82561	0.000509309
38036.82563	0.000507252
38036.82564	0.000514613
38036.82565	0.000510861
38036.82566	0.000507925
38036.82567	0.000506383
38036.82568	0.000507531
38036.82569	0.000506431
38036.82571	0.000501504
38036.82572	0.000499754
38036.82573	0.000503342
38036.82574	0.000500207
38036.82575	0.000495805
38036.82576	0.00049122
38036.82578	0.00049922
38036.82579	0.000492254
38036.8258	0.000491235
38036.82581	0.000489125
38036.82582	0.000489742
38036.82583	0.000490822
38036.82584	0.000487323
38036.82586	0.00048241
38036.82587	0.00048341
38036.82588	0.000482176
38036.82589	0.00047336
38036.8259	0.000477021
38036.82591	0.000477716
38036.82593	0.000474341
38036.82594	0.000468405
38036.82595	0.000468815
38036.82596	0.000471204
38036.82597	0.000463788
38036.82598	0.000463773
38036.826	0.00046172
38036.82601	0.000462438
38036.82602	0.000461123
38036.82603	0.00045711
38036.82604	0.000455028
38036.82605	0.000457673
38036.82606	0.000453733
38036.82608	0.000452325
38036.82609	0.000447924
38036.8261	0.000450557
38036.82611	0.000444846
38036.82612	0.000442577
38036.82613	0.000441389
38036.82615	0.000442949
38036.82616	0.000440932
38036.82617	0.000436486
38036.82618	0.000437562
38036.82619	0.00043793
38036.8262	0.000437661
38036.82622	0.000430383
38036.82623	0.000429589
38036.82624	0.000433894
38036.82625	0.000435104
38036.82626	0.000425809
38036.82627	0.000424666
38036.82628	0.00042827
38036.8263	0.000426913
38036.82631	0.00042153
38036.82632	0.000419718
38036.82633	0.000421038
38036.82634	0.000417226
38036.82635	0.00041405
38036.82637	0.000409319
38036.82638	0.000414546
38036.82639	0.000410327
38036.8264	0.000407468
38036.82641	0.000400912
38036.82642	0.000406151
38036.82644	0.000403399
38036.82645	0.00039714
38036.82646	0.000402863
38036.82647	0.0004019
38036.82648	0.00039528
38036.82649	0.000391219
38036.8265	0.000388782
38036.82652	0.000390965
38036.82653	0.000390801
38036.82654	0.000384203
38036.82655	0.00038092
38036.82656	0.000379985
38036.82657	0.000381698
38036.82659	0.000377288
38036.8266	0.000372156
38036.82661	0.000373786
38036.82662	0.00037141
38036.82663	0.000366086
38036.82664	0.000364961
38036.82666	0.000367796
38036.82667	0.000365363
38036.82668	0.000360861
38036.82669	0.000359206
38036.8267	0.000360067
38036.82671	0.000357246
38036.82672	0.000355723
38036.82674	0.000350034
38036.82675	0.000347752
38036.82676	0.000349116
38036.82677	0.000348586
38036.82678	0.000340775
38036.82679	0.000345597
38036.82681	0.0003425
38036.82682	0.000337361
38036.82683	0.000334414
38036.82684	0.000336009
38036.82685	0.000333625
38036.82686	0.000333722
38036.82688	0.000324349
38036.82689	0.000330743
38036.8269	0.000327408
38036.82691	0.000324705
38036.82692	0.000319709
38036.82693	0.000324864
38036.82694	0.00032138
38036.82696	0.000317739
38036.82697	0.000313579
38036.82698	0.000324643
38036.82699	0.000323604
38036.827	0.000321567
38036.82701	0.00031666
38036.82703	0.000313153
38036.82704	0.000315524
38036.82705	0.000311486
38036.82706	0.000308155
38036.82707	0.000302923
38036.82708	0.000300364
38036.82709	0.000301182
38036.82711	0.000299898
38036.82712	0.000294386
38036.82713	0.000299102
38036.82714	0.00029721
38036.82715	0.000294853
38036.82716	0.000293272
38036.82718	0.000292353
38036.82719	0.000293463
38036.8272	0.000290278
38036.82721	0.000287677
38036.82722	0.000286459
38036.82723	0.000290099
38036.82725	0.000283967
38036.82726	0.00028044
38036.82727	0.000280005
38036.82728	0.000281778
38036.82729	0.00027873
38036.8273	0.000274654
38036.82731	0.000274778
38036.82733	0.000273864
38036.82734	0.000272731
38036.82735	0.000265947
38036.82736	0.000268178
38036.82737	0.000266767
38036.82738	0.000265388
38036.8274	0.000259081
38036.82741	0.000255119
38036.82742	0.000258586
38036.82743	0.000258997
38036.82744	0.000256452
38036.82745	0.000255301
38036.82747	0.000260679
38036.82748	0.000261076
38036.82749	0.000252759
38036.8275	0.000253259
38036.82751	0.000255333
38036.82752	0.000250706
38036.82753	0.000246433
38036.82755	0.000246616
38036.82756	0.000245255
38036.82757	0.000245796
38036.82758	0.000241669
38036.82759	0.000238954
38036.8276	0.000243081
38036.82762	0.00023924
38036.82763	0.000236116
38036.82764	0.000237803
38036.82765	0.000235864
38036.82766	0.000233645
38036.82767	0.000231035
38036.82769	0.000230101
38036.8277	0.000232107
38036.82771	0.000231589
38036.82772	0.000225923
38036.82773	0.00022244
38036.82774	0.000224517
38036.82775	0.000223024
38036.82777	0.000220861
38036.82778	0.00021821
38036.82779	0.00022034
38036.8278	0.000217653
38036.82781	0.000216108
38036.82782	0.00021321
38036.82784	0.000213804
38036.82785	0.000210719
38036.82786	0.000208136
38036.82787	0.000206893
38036.82788	0.000208298
38036.82789	0.000206164
38036.82791	0.000202848
38036.82792	0.000201996
38036.82793	0.000203571
38036.82794	0.000202454
38036.82795	0.000198726
38036.82796	0.000195586
38036.82797	0.000195453
38036.82799	0.000194954
38036.828	0.000190358
38036.82801	0.000190241
38036.82802	0.000189123
38036.82803	0.000190302
38036.82804	0.000186369
38036.82806	0.000185509
38036.82807	0.000185497
38036.82808	0.00018772
38036.82809	0.000182447
38036.8281	0.000181628
38036.82811	0.000184216
38036.82813	0.000181228
38036.82814	0.000178822
38036.82815	0.000178226
38036.82816	0.000180001
38036.82817	0.000183193
38036.82818	0.000179477
38036.82819	0.000175888
38036.82821	0.000179692
38036.82822	0.000176618
38036.82823	0.000171635
38036.82824	0.000170037
38036.82825	0.000173912
38036.82826	0.000169152
38036.82828	0.000166399
38036.82829	0.000164056
38036.8283	0.000166054
38036.82831	0.000164088
38036.82832	0.000163918
38036.82833	0.000160957
38036.82834	0.000163388
38036.82836	0.000159691
38036.82837	0.000159371
38036.82838	0.000157015
38036.82839	0.000160577
38036.8284	0.000158004
38036.82841	0.000156766
38036.82843	0.000153606
38036.82844	0.000156285
38036.82845	0.000154859
38036.82846	0.000152847
38036.82847	0.00014962
38036.82848	0.000153204
38036.8285	0.000150437
38036.82851	0.00014918
38036.82852	0.000147499
38036.82853	0.000149999
38036.82854	0.000146633
38036.82855	0.000144868
38036.82856	0.00014275
38036.82858	0.000145352
38036.82859	0.00014233
38036.8286	0.000140122
38036.82861	0.000137115
38036.82862	0.000140868
38036.82863	0.000138391
38036.82865	0.000133674
38036.82866	0.000132975
38036.82867	0.000135316
38036.82868	0.000131792
38036.82869	0.000129747
38036.8287	0.000127346
38036.82872	0.000130519
38036.82873	0.000128881
38036.82874	0.000126067
38036.82875	0.000123577
38036.82876	0.000124666
38036.82877	0.00012535
38036.82878	0.000123425
38036.8288	0.000124957
38036.82881	0.000128481
38036.82882	0.000125659
38036.82883	0.00012093
38036.82884	0.000121491
38036.82885	0.000117381
38036.82887	0.000117964
38036.82888	0.000114084
38036.82889	0.000111991
38036.8289	0.000112627
38036.82891	0.000110221
38036.82892	0.000114754
38036.82894	0.000111063
38036.82895	0.000107772
38036.82896	0.000106772
38036.82897	0.000110682
38036.82898	0.000108097
38036.82899	0.000107146
38036.829	0.000105514
38036.82902	0.000106848
38036.82903	0.000106035
38036.82904	0.000104319
38036.82905	0.000103214
38036.82906	0.000104803
38036.82907	0.000104542
38036.82909	0.000101379
38036.8291	9.96928E-05
38036.82911	0.000100214
38036.82912	0.000100308
38036.82913	9.8995E-05
38036.82914	9.59842E-05
38036.82916	9.80795E-05
38036.82917	9.57206E-05
38036.82918	9.4642E-05
38036.82919	9.48905E-05
38036.8292	9.6874E-05
38036.82921	9.55595E-05
38036.82922	9.28605E-05
38036.82924	9.23209E-05
38036.82925	9.48629E-05
38036.82926	9.03575E-05
38036.82927	9.12304E-05
38036.82928	9.09887E-05
38036.82929	9.15174E-05
38036.82931	9.08708E-05
38036.82932	8.9117E-05
38036.82933	8.70834E-05
38036.82934	8.86997E-05
38036.82935	8.73234E-05
38036.82936	8.49478E-05
38036.82938	8.72642E-05
38036.82939	8.82185E-05
38036.8294	8.50412E-05
38036.82941	8.34701E-05
38036.82942	8.3692E-05
38036.82943	8.61328E-05
38036.82944	8.30711E-05
38036.82946	8.09131E-05
38036.82947	8.11519E-05
38036.82948	8.3692E-05
38036.82949	8.23828E-05
38036.8295	8.03286E-05
38036.82951	7.56048E-05
38036.82953	7.56831E-05
38036.82954	7.52677E-05
38036.82955	7.68909E-05
38036.82956	7.3605E-05
38036.82957	7.30661E-05
38036.82958	7.22266E-05
38036.82959	7.26794E-05
38036.82961	7.18418E-05
38036.82962	7.22711E-05
38036.82963	7.22359E-05
38036.82964	7.24702E-05
38036.82965	6.96568E-05
38036.82966	7.04802E-05
38036.82968	7.16652E-05
38036.82969	7.05397E-05
38036.8297	6.77727E-05
38036.82971	6.89992E-05
38036.82972	6.84895E-05
38036.82973	6.84252E-05
38036.82975	6.68942E-05
38036.82976	6.72983E-05
38036.82977	6.70569E-05
38036.82978	6.55075E-05
38036.82979	6.44162E-05
38036.8298	6.27306E-05
38036.82981	6.57647E-05
38036.82983	6.387E-05
38036.82984	6.20419E-05
38036.82985	6.28262E-05
38036.82986	6.42287E-05
38036.82987	5.84976E-05
38036.82988	5.93926E-05
38036.8299	6.102E-05
38036.82991	6.17293E-05
38036.82992	5.8931E-05
38036.82993	5.80674E-05
38036.82994	5.94887E-05
38036.82995	5.90877E-05
38036.82997	5.86038E-05
38036.82998	5.65059E-05
38036.82999	5.75564E-05
38036.83	5.75359E-05
38036.83001	5.60269E-05
38036.83002	5.36621E-05
38036.83003	5.65096E-05
38036.83005	5.49952E-05
38036.83006	5.35996E-05
38036.83007	5.12876E-05
38036.83008	5.25634E-05
38036.83009	5.18972E-05
38036.8301	5.05392E-05
38036.83012	5.02472E-05
38036.83013	5.12975E-05
38036.83014	5.06293E-05
38036.83015	4.91866E-05
38036.83016	4.80548E-05
38036.83017	5.0518E-05
38036.83019	4.90165E-05
38036.8302	4.77725E-05
38036.83021	4.6149E-05
38036.83022	4.73384E-05
38036.83023	4.65572E-05
38036.83024	4.42958E-05
38036.83025	4.39658E-05
38036.83027	4.48789E-05
38036.83028	4.5361E-05
38036.83029	4.1837E-05
38036.8303	4.23548E-05
38036.83031	4.43101E-05
38036.83032	4.4204E-05
38036.83034	4.60773E-05
38036.83035	4.3842E-05
38036.83036	4.39245E-05
38036.83037	4.37358E-05
38036.83038	4.16289E-05
38036.83039	4.08228E-05
38036.83041	3.97328E-05
38036.83042	4.16883E-05
38036.83043	4.10109E-05
38036.83044	3.97032E-05
38036.83045	4.19482E-05
38036.83046	4.47745E-05
38036.83047	3.98991E-05
38036.83049	3.94418E-05
38036.8305	4.16788E-05
38036.83051	4.04518E-05
38036.83052	3.92952E-05
38036.83053	3.79242E-05
38036.83054	3.87244E-05
38036.83056	3.94827E-05
38036.83057	3.75406E-05
38036.83058	3.65146E-05
38036.83059	3.69271E-05
38036.8306	3.70216E-05
38036.83061	3.53457E-05
38036.83063	3.40859E-05
38036.83064	3.42385E-05
38036.83065	3.64013E-05
38036.83066	3.30631E-05
38036.83067	3.42962E-05
38036.83068	3.48886E-05
38036.83069	3.39218E-05
38036.83071	3.3388E-05
38036.83072	3.12026E-05
38036.83073	3.29115E-05
38036.83074	3.25217E-05
38036.83075	3.23715E-05
38036.83076	3.0644E-05
38036.83078	3.266E-05
38036.83079	3.0864E-05
38036.8308	3.00419E-05
38036.83081	2.82025E-05
38036.83082	3.03808E-05
38036.83083	2.9846E-05
38036.83084	2.81774E-05
38036.83086	2.92312E-05
38036.83087	2.93649E-05
38036.83088	2.87478E-05
38036.83089	2.75997E-05
38036.8309	2.87385E-05
38036.83091	2.99137E-05
38036.83093	2.73665E-05
38036.83094	2.54992E-05
38036.83095	2.59766E-05
38036.83096	2.79186E-05
38036.83097	2.59204E-05
38036.83098	2.48513E-05
38036.831	2.59523E-05
38036.83101	2.63869E-05
38036.83102	2.46941E-05
38036.83103	2.4799E-05
38036.83104	2.448E-05
38036.83105	2.54431E-05
38036.83106	2.80963E-05
38036.83108	2.84598E-05
38036.83109	2.59262E-05
38036.8311	2.57647E-05
38036.83111	2.43795E-05
38036.83112	2.27006E-05
38036.83113	2.44728E-05
38036.83115	2.3077E-05
38036.83116	2.52209E-05
38036.83117	2.448E-05
38036.83118	2.28806E-05
38036.83119	2.23592E-05
38036.8312	2.2365E-05
38036.83122	2.17115E-05
38036.83123	2.24535E-05
38036.83124	2.19838E-05
38036.83125	2.07709E-05
38036.83126	2.1245E-05
38036.83127	2.2123E-05
38036.83128	2.1701E-05
38036.8313	2.07407E-05
38036.83131	2.09859E-05
38036.83132	2.08646E-05
38036.83133	2.0659E-05
38036.83134	2.05888E-05
38036.83135	2.00293E-05
38036.83137	2.13795E-05
38036.83138	2.01849E-05
38036.83139	1.87565E-05
38036.8314	2.03753E-05
38036.83141	1.96765E-05
38036.83142	1.94838E-05
38036.83144	1.88796E-05
38036.83145	1.98358E-05
38036.83146	1.93424E-05
38036.83147	1.91077E-05
38036.83148	1.78623E-05
38036.83149	1.8541E-05
38036.8315	1.86264E-05
38036.83152	1.76747E-05
