Day fraction since midnight on 	Accumulator pressure (Pa)	DO probe (mg/L)	Lab Air supply pressure (Pa)	air valve control ()	Max calibration pressure (Pa)	source pressure (Pa)	Max calibration pressure ()	Delta P ()	air flow rate(R * T )/ V ()	Fill time (s)	air fill model (Pa)
0.666798842	8463.217773	4.848012924	22480.25977	0.774955915	20232.23379	22480.25977	20232.23379	10232.23379	1963.2	5.212018026	20232.23379
0.666856693	8835.202148	4.944323063	21876.24414	0.801199091	19688.61973	21876.24414	19688.61973	9688.619727	1963.2	4.935115998	19688.61973
0.666914555	8964.677734	5.096382618	21433.1875	0.815123381	19289.86875	21433.1875	19289.86875	9289.86875	1963.2	4.732003235	19289.86875
0.66697242	9000.039063	5.271180153	21433.1875	0.811653708	19289.86875	21433.1875	19289.86875	9289.86875	1963.2	4.732003235	19289.86875
0.667030286	9168.47168	5.438315392	21244.40039	0.838624976	19119.96035	21244.40039	19119.96035	9119.960352	1963.2	4.645456577	19119.96035
0.667088159	9580.662109	5.586161137	21262.49609	0.846302762	19136.24648	21262.49609	19136.24648	9136.246484	1963.2	4.653752284	19136.24648
0.667146026	9708.060547	5.727688789	21256.11719	0.840825637	19130.50547	21256.11719	19130.50547	9130.505469	1963.2	4.650827969	19130.50547
0.66720391	9669.081055	5.868597031	21203.56445	0.849934777	19083.20801	21203.56445	19083.20801	9083.208008	1963.2	4.626735945	19083.20801
0.667261788	9790.452148	6.011238575	21213.31641	0.850714625	19091.98477	21213.31641	19091.98477	9091.984766	1963.2	4.631206584	19091.98477
0.667319658	9832.68457	6.1471591	21206.50391	0.851685043	19085.85352	21206.50391	19085.85352	9085.853516	1963.2	4.628083494	19085.85352
0.667377514	9832.692383	6.285540104	21175.18555	0.852765486	19057.66699	21175.18555	19057.66699	9057.666992	1963.2	4.613726056	19057.66699
0.667435391	9621.830078	6.382538319	21185.13867	0.841652361	19066.6248	21185.13867	19066.6248	9066.624805	1963.2	4.618288918	19066.6248
0.667493252	9700.664063	6.487361431	21152.2207	0.850826186	19036.99863	21152.2207	19036.99863	9036.998633	1963.2	4.603198163	19036.99863
0.667551116	9869.911133	6.600699425	21182.16992	0.855965766	19063.95293	21182.16992	19063.95293	9063.95293	1963.2	4.616927939	19063.95293
0.667608998	9817.389648	6.716629028	21192.66797	0.859241241	19073.40117	21192.66797	19073.40117	9073.401172	1963.2	4.621740613	19073.40117
0.667666875	9853.567383	6.814681053	21167.3457	0.852635546	19050.61113	21167.3457	19050.61113	9050.611133	1963.2	4.610131995	19050.61113
0.667724754	9835.045898	6.901268959	21155.06055	0.855092288	19039.55449	21155.06055	19039.55449	9039.554492	1963.2	4.604500047	19039.55449
0.667782606	9853.455078	6.980463505	21146.04883	0.860363554	19031.44395	21146.04883	19031.44395	9031.443945	1963.2	4.600368758	19031.44395
0.667840468	9826.163086	7.040526867	21129.85352	0.856386488	19016.86816	21129.85352	19016.86816	9016.868164	1963.2	4.592944256	19016.86816
0.667898345	9806.206055	7.145243168	21131.15039	0.853012231	19018.03535	21131.15039	19018.03535	9018.035352	1963.2	4.59353879	19018.03535
0.667956204	9807.613281	7.25483036	21141.15234	0.854922241	19027.03711	21141.15234	19027.03711	9027.037109	1963.2	4.598124037	19027.03711
0.668014091	9820.025391	7.337551594	21126.0332	0.853436682	19013.42988	21126.0332	19013.42988	9013.429883	1963.2	4.591192891	19013.42988
0.668071941	9692.060547	7.395806789	21124.2793	0.84222595	19011.85137	21124.2793	19011.85137	9011.851367	1963.2	4.590388838	19011.85137
0.668129812	9377.416992	7.459497452	21101.04492	0.84041033	18990.94043	21101.04492	18990.94043	8990.94043	1963.2	4.579737383	18990.94043
0.668187694	9229.740234	7.539214134	21152.00977	0.830427548	19036.80879	21152.00977	19036.80879	9036.808789	1963.2	4.603101461	19036.80879
0.668245555	9253.448242	7.605845451	21152.64453	0.832800092	19037.38008	21152.64453	19037.38008	9037.380078	1963.2	4.60339246	19037.38008
0.668303409	9174.513672	7.634296894	21178.71094	0.828862887	19060.83984	21178.71094	19060.83984	9060.839844	1963.2	4.615342219	19060.83984
0.668361292	9210.558594	7.702147961	21176.26953	0.833014755	19058.64258	21176.26953	19058.64258	9058.642578	1963.2	4.614222992	19058.64258
0.668419164	9496.695313	7.751202107	21151.79297	0.847612108	19036.61367	21151.79297	19036.61367	9036.613672	1963.2	4.603002074	19036.61367
0.668477041	9679.910156	7.797346592	21162.22461	0.852551146	19046.00215	21162.22461	19046.00215	9046.002148	1963.2	4.607784305	19046.00215
0.668534898	9716.722656	7.84541893	21162.68945	0.848165267	19046.42051	21162.68945	19046.42051	9046.420508	1963.2	4.607997406	19046.42051
0.668592771	9700.491211	7.904211044	21114.53906	0.855519591	19003.08516	21114.53906	19003.08516	9003.085156	1963.2	4.585923572	19003.08516
0.668650647	9708.953125	7.924864292	21086.42188	0.851581799	18977.77969	21086.42188	18977.77969	8977.779688	1963.2	4.573033663	18977.77969
0.668708505	9736.675781	7.975531101	21061.74609	0.855285225	18955.57148	21061.74609	18955.57148	8955.571484	1963.2	4.561721416	18955.57148
