Day fraction since midnight on 	PH (pH)
0.64272634	7.71823549
0.64273775	7.72036314
0.64274933	7.72732878
0.64276104	7.73241329
0.64277273	7.72633362
0.64278424	7.74145031
0.6427959	7.7320075
0.64280731	7.72384596
0.64281898	7.72207642
0.64283056	7.73313189
0.64284215	7.74011517
0.64285363	7.72597504
0.64286509	7.73525858
0.64287669	7.73727703
0.64288829	7.7328186
0.6429	7.72775173
0.64291157	7.72461987
0.64292317	7.7328186
0.64293481	7.72065878
0.64294637	7.71862173
0.64295794	7.72481346
0.64296947	7.72887611
0.64298109	7.72146893
0.64299264	7.71958971
0.64300421	7.72016954
0.64301579	7.72210503
0.64302731	7.71765471
0.64303889	7.70953035
0.64305056	7.70667362
0.64306208	7.7056613
0.64307361	7.69830942
0.64308516	7.70179129
0.64309676	7.70748472
0.6431084	7.73910141
0.64311995	7.74435377
0.6431316	7.73281956
0.64314306	7.70952892
0.6431547	7.69228458
0.64316627	7.71591377
0.64317782	7.66812944
0.6431894	7.68921661
0.64320097	7.67277384
0.64321257	7.69593239
0.64322414	7.72926283
0.64323569	7.7826581
0.64324725	7.64259338
0.64325882	7.65845633
0.64327037	7.66561604
0.64328201	7.65195274
0.64329361	7.68296099
0.64330516	7.64065742
0.64331669	7.61841106
0.64332831	7.62580872
0.64333988	7.61667013
0.6433515	7.66857195
0.64336303	7.57623625
0.64337403	7.59964609
0.64338616	7.59649038
0.64339778	7.57899046
0.64340933	7.64007759
0.64342086	7.60970449
0.64343245	7.58162594
0.64344405	7.58142233
0.64345558	7.59790373
0.6434672	7.4832058
0.64347875	7.51111555
0.64349042	7.56135941
0.64350187	7.54663801
0.64351354	7.56480408
0.64352505	7.50543022
0.64353664	7.5133543
0.64354817	7.51026773
0.64355977	7.50258303
0.64357137	7.49163961
0.64358292	7.52342272
0.64359451	7.4020834
0.64360613	7.530756
0.64361771	7.53000069
0.64362931	7.52183771
0.64364081	7.45841932
0.64365234	7.47873354
0.64366391	7.43868732
0.64367549	7.49014711
0.64368713	7.46123981
0.64369868	7.46403074
0.64371025	7.45551872
0.64372176	7.46054888
0.64373336	7.45819902
0.64374495	7.45293045
0.64375653	7.46132231
0.64376817	7.45599937
0.64377972	7.43094826
0.64379125	7.47022057
0.6438028	7.43810749
0.64381442	7.43347311
0.64382602	7.39760065
0.64383757	7.4208889
0.6438491	7.42050171
0.64386069	7.38848066
0.64387225	7.39535236
0.64388391	7.41320658
0.64389549	7.38993645
0.64390697	7.39535236
0.64391863	7.40631485
0.64393016	7.40173674
0.64394176	7.36720037
0.64395333	7.45474434
0.64396493	7.38827753
0.6439765	7.36884928
0.64398803	7.42282438
0.64399968	7.38989782
0.6440112	7.37020302
0.64402271	7.36923504
0.6440344	7.40449095
0.64404593	7.36517382
0.64405748	7.3533721
0.64406903	7.36691427
0.64408062	7.37429237
0.64409218	7.33209085
0.64410375	7.34640932
0.64411532	7.30049276
0.64412692	7.35382366
0.64413854	7.35544538
0.64415005	7.3593688
0.64416162	7.32067823
0.64417319	7.31758165
0.64418477	7.28325796
0.64419632	7.32454634
0.64420792	7.32139683
0.64421951	7.30741167
0.64423106	7.31603527
0.64424266	7.31592464
0.64425428	7.31207275
0.64426583	7.29399729
0.64427738	7.31293917
0.64428894	7.30384636
0.64430058	7.29322386
0.64431211	7.30481434
0.64432366	7.28837013
0.64433525	7.27863216
0.64434678	7.26844358
0.64435845	7.28896809
0.64437	7.30152464
0.64438155	7.29707527
0.64439312	7.28217888
0.64440468	7.29475451
0.64441632	7.26951218
0.64442789	7.3146801
0.6444394	7.3094573
0.64445102	7.26100016
0.64446262	7.32200384
0.64447417	7.24097395
0.64448572	7.28024435
0.64449736	7.25208187
0.64450884	7.26244545
0.64452051	7.28998184
0.64453199	7.27328014
0.64454366	7.27336264
0.64455521	7.26883125
0.64456681	7.28045654
0.64457831	7.27908325
0.64458991	7.25329876
0.64460148	7.23594236
0.64461306	7.25316
0.64462465	7.2581625
0.64463616	7.25606251
0.64464782	7.23749065
0.6446594	7.26070595
0.6446709	7.23536253
0.64468255	7.24134016
0.6446941	7.25490236
0.64470562	7.25625563
0.64471729	7.23100519
0.64472882	7.24735594
0.64474035	7.2471633
0.64475192	7.23516798
0.6447635	7.22839785
0.64477509	7.2435708
0.64478662	7.17251015
0.64479822	7.17729712
0.64480981	7.19979334
0.64482137	7.22414064
0.64483301	7.21175718
0.64484454	7.19532776
0.64485616	7.21337366
0.64486771	7.23168659
0.64487921	7.16928434
0.64489083	7.18561602
0.64490236	7.2065444
0.64491396	7.17851925
0.64492556	7.16352463
0.64493713	7.1581831
0.6449487	7.20074272
0.64496025	7.20248127
0.64497187	7.21783161
0.64498338	7.26941872
0.64499495	7.22201586
0.6450066	7.20222569
0.64501819	7.22046995
0.64502977	7.20539665
0.64504127	7.2340169
0.64505289	7.2435708
0.64506449	7.21704102
0.645076	7.21564054
0.64508762	7.24965143
